"Organy Władzy,Administracji Rządowej"
"Izby Rzemieślnicze"
"Związek Rzemiosła Polskiego"
"Związki Stowarzyszeń"
"Stowarzyszenia Kultury Fizycznej"
"Związki Sportowe"
"Polskie Związki Sportowe"
"Inne Organizacje Społeczne Lub Zawodowe"
"Kolumny Transportu Sanitarnego"
"Stowarzyszenia Kultury Fizycznej O Zasięgu Ogólnokrajowym"
"Zrzeszenia Handlu I Usług"
"Zrzeszenia Transportu"
"Instytuty Badawcze I Instytuty Działające W Ramach Sieci Badawczej Łukasiewicz"
"Ogólnokrajowe Reprezentacje Zrzeszeń Handlu I Usług"
"Ogólnokrajowe Reprezentacje Zrzeszeń Transportu"
"Inne Organizacje Podmiotów Gospodarczych"
"Izby Gospodarcze"
"Przedsiębiorstwa Zagraniczne"
"Związki Pracodawców"
"Federacje/Konfederacje Związków Pracodawców"
"Kółka Rolnicze"
"Rolnicze Zrzeszenia Branżowe"
"Oddziały Zagranicznych Przedsiębiorców"
"Spółdzielcze Kasy Oszczędnościowo-Kredytowe"
"Stowarzyszenia Ogrodowe"
"Związki Stowarzyszeń Ogrodowych"
"Jednostki Terenowe Stowarzyszeń Posiadających Osobowość Prawną"
"Jednostki Organizacyjne Związków Zawodowych Posiadające Osobowość Prawną"
"Publiczne Szkoły Podstawowe"
"Publiczne Gimnazja"
"Publiczne Szkoły Ponadpodstawowe"
"Publiczne Szkoły Ponadgimnazjalne"
"Publiczne Szkoły Artystyczne"
"Niepubliczne Szkoły Podstawowe"
"Niepubliczne Gimnazja"
"Niepubliczne Szkoły Ponadpodstawowe"
"Niepubliczne Szkoły Ponadgimnazjalne"
"Niepubliczne Szkoły Artystyczne"
"Publiczne Placówki Systemu Oświaty"
"Niepubliczne Placówki Systemu Oświaty"
"Inne Publiczne Jednostki Organizacyjne Systemu Oświaty"
"Inne Niepubliczne Jednostki Organizacyjne Systemu Oświaty"
"Publiczne Zespoły Szkół I Placówek Systemu Oświaty"
"Niepubliczne Zespoły Szkół I Placówek Systemu Oświaty"
"Organy Władzy, Administracji Rządowej"
"Związki Metropolitalne"
"Jednostki Organizacyjne Związków Metropolitalnych"
"Inne Państwowe Lub Samorządowe Osoby Prawne W Rozumieniu Art. 9 Pkt 14 Ustawy Z Dnia 27 Sierpnia 2009 R. O Finansach Publicznych (Dz. U. Z 2013 R. Poz. 885, Z Póź. Zm.)"
